Character,Closures_Driven,Total_Interactions,Normalized_Score,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality
Emperor,1,6,0.16666666666666666,0.5714285714285714,0.047619047619047616,0.7
Maomao,6,50,0.12,1.0,0.6190476190476191,1.0
Jinshi,0,28,0.0,0.5714285714285714,0.047619047619047616,0.7
Xiaolan,0,8,0.0,0.2857142857142857,0.0,0.5833333333333334
Gyokuyou,0,9,0.0,0.42857142857142855,0.0,0.6363636363636364
Shisui,0,6,0.0,0.2857142857142857,0.0,0.5833333333333334
Lihua,0,2,0.0,0.2857142857142857,0.0,0.5833333333333334
Lihaku,0,3,0.0,0.2857142857142857,0.0,0.5833333333333334
