Character,Closures_Driven,Total_Interactions,Normalized_Score,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality
Xiaolan,1,9,0.1111111111111111,0.2857142857142857,0.0,0.5384615384615384
Maomao,2,28,0.07142857142857142,0.8571428571428571,0.5476190476190476,0.875
Jinshi,1,16,0.0625,0.7142857142857142,0.3571428571428571,0.7777777777777778
Shisui,0,12,0.0,0.2857142857142857,0.0,0.5384615384615384
Gyokuyou,0,6,0.0,0.2857142857142857,0.0,0.5833333333333334
"Loulan, Shisui",0,6,0.0,0.2857142857142857,0.0,0.5833333333333334
Lakan,0,3,0.0,0.14285714285714285,0.0,0.4666666666666667
Lihaku,0,2,0.0,0.2857142857142857,0.0,0.5833333333333334
