Character,Closures_Driven,Total_Interactions,Normalized_Score,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality
Maomao,2,47,0.0425531914893617,0.875,0.8035714285714285,0.8888888888888888
Emperor,0,2,0.0,0.125,0.0,0.42105263157894735
Jinshi,0,42,0.0,0.5,0.26785714285714285,0.6666666666666666
Lakan,0,7,0.0,0.25,0.0,0.5714285714285714
Gyokuyou,0,2,0.0,0.125,0.0,0.5
Lihua,0,2,0.0,0.125,0.0,0.5
Loulan,0,1,0.0,0.125,0.0,0.5
Lihaku,0,4,0.0,0.25,0.0,0.5714285714285714
Xiaolan,0,1,0.0,0.125,0.0,0.5
